Category,Class 1 Precision,Class 1 Recall,Class 1 F1,Class -1 Precision,Class -1 Recall,Class -1 F1,Macro Precision,Macro Recall,Macro F1
0,0.709,0.358,0.476,0.792,0.075,0.136,0.750,0.216,0.306
1,1.000,0.123,0.220,0.091,0.125,0.105,0.545,0.124,0.163
2,0.903,0.311,0.463,0.500,0.075,0.130,0.702,0.193,0.297
3,0.976,0.073,0.136,0.171,0.079,0.108,0.573,0.076,0.122
4,0.917,0.149,0.256,0.414,0.158,0.229,0.665,0.153,0.242
5,0.786,0.100,0.177,0.286,0.054,0.091,0.536,0.077,0.134
6,0.941,0.250,0.395,0.000,0.000,0.000,0.471,0.125,0.198
7,1.000,0.013,0.026,0.091,0.111,0.100,0.545,0.062,0.063
8,0.154,0.011,0.020,0.947,0.131,0.231,0.551,0.071,0.126
MACRO AVG,-,-,-,-,-,-,0.593,0.122,0.183
